,psu,hhld,sn,abs_sex,abs_age,abs_relhh,abs_edulvl,abs_rsn,abs_nummonth,abs_living,l10_1digit,l10_nsco
10127,1782,9,1,Male,17,Son/Daughter,Class 10,3,2,Kailali,9,9999
10128,1782,8,1,Male,28,Son/Daughter,Class 12 and Intermediate,4,24,India,0,0
10129,1782,8,2,Male,25,Son/Daughter,Class 10,4,2,India,F,5120
10130,1782,8,3,Female,26,Daughter-in-law,Class 10,5,19,India,9,9999
10131,1782,8,4,Male,4,Grand son/daughter,NA,5,19,India,,NA
10132,1782,8,5,Male,2,Grand son/daughter,NA,5,19,India,,NA
10133,1782,4,1,Male,45,Son/Daughter,Class 10,4,14,India,I,8322
10134,1782,4,2,Female,43,Daughter-in-law,Illiterate,5,10,India,9,9999
10135,1782,4,3,Female,20,Grand son/daughter,Class 8,4,10,India,9,9999
10136,1782,4,4,Male,1,Grand son/daughter,NA,5,10,India,,NA
10137,1782,17,1,Female,21,Grand son/daughter,SLC and equiv.,3,8,Kailali,9,9999
10138,1782,12,1,Male,32,Spouse,Class 10,4,13,India,F,5131
10139,1782,5,1,Male,61,Father-in-law / mother-in-law,Illiterate,4,9,India,J,9613
10140,1782,5,2,Female,53,Father-in-law / mother-in-law,Illiterate,4,9,India,J,9613
10141,1782,5,3,Male,22,Spouse,Class 8,4,9,India,J,9313
10142,1782,5,4,Male,19,Other relatives,Class 12 and Intermediate,4,7,India,H,7411
10143,1782,5,5,Male,10,Other relatives,Class 3,5,53,India,9,9999
10144,1782,5,6,Female,16,Other relatives,Illiterate,5,62,India,9,9999
10145,1782,3,1,Male,18,Son/Daughter,Class 8,4,8,India,F,5223
10146,1782,11,1,Male,41,Son/Daughter,Class 12 and Intermediate,1,16,Banke,F,5412
10147,1782,11,2,Male,26,Son/Daughter,Class 12 and Intermediate,7,4,Achham,F,5223
10148,1782,7,1,Male,52,Father / mother,Class 3,4,23,India,F,5414
10149,1782,7,2,Female,51,Father / mother,Illiterate,4,23,India,J,9129
10150,1782,7,3,Male,25,Brother/sister,Class 12 and Intermediate,4,34,India,F,5223
10151,1782,7,4,Female,22,Other relatives,SLC and equiv.,7,34,India,9,9999
10152,1782,7,5,Female,10,Son/Daughter,Class 2,5,23,India,9,9999
